analysis_id,9rvvq0jmr6b146t
pvalue,0.7539673
gene_accession_id,MGI:99605
mouse_life_stage,Early adult
gene_symbol,Cntfr
parameter_name,Prepulse inhibition - PP2
mouse_strain,129SV
parameter_id,ESLIM_011_001_702
