parameter_name,Heart weight
gene_symbol,Exd1
pvalue,0.1248833
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:3045306
analysis_id,dor3y6vp449849k
parameter_id,HMGULA_HWT_008_001
