gene_symbol,Ivd
mouse_life_stage,Early adult
parameter_id,MGP_BMI_014_001
pvalue,0.3669091
mouse_strain,C57BL
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
gene_accession_id,MGI:1929242
analysis_id,8wt829n825x21g8
