analysis_id,5431ws2sw7zpvod
gene_symbol,Atrn
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1341628
parameter_id,IMPC_HEM_008_001
parameter_name,Platelet count
pvalue,0.1959312
