gene_symbol,Ints7
parameter_id,HMGULA_HWT_008_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1924315
pvalue,0.6707726
mouse_strain,C57BL
parameter_name,Heart weight
analysis_id,04m14q0u021rl24
