parameter_name,Albumin
mouse_life_stage,E12.5
pvalue,0.3054794
analysis_id,kg0i4o0w978c134
gene_accession_id,MGI:2444554
parameter_id,IMPC_CBC_007_001
gene_symbol,Mapkap1
mouse_strain,C57BL
