parameter_id,IMPC_IPG_010_001
mouse_strain,C57BL
analysis_id,1m7mtc2y40r6o3o
gene_accession_id,MGI:1916222
parameter_name,Fasted blood glucose concentration
gene_symbol,Tatdn3
pvalue,0.5654933
mouse_life_stage,Early adult
