analysis_id,5njo14o9i0y2395
gene_symbol,Dmap1
mouse_strain,C57BL
pvalue,0.6892223
gene_accession_id,MGI:1913483
parameter_name,Coat - hair distribution - head
parameter_id,IMPC_CSD_012_001
mouse_life_stage,E9.5
