gene_symbol,Orc2
parameter_id,MGP_BMI_006_001
gene_accession_id,MGI:1328306
analysis_id,4h967r9g40j49sr
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
pvalue,0.2022019
mouse_life_stage,E9.5
mouse_strain,C57BL
