analysis_id,6lcy4vr979uc832
gene_symbol,Zfp683
parameter_id,IMPC_XRY_066_001
pvalue,0.09575045
gene_accession_id,MGI:3650254
mouse_life_stage,Early adult
parameter_name,Sacral processes
mouse_strain,C57BL
