analysis_id,g2dx429653mfd0w
mouse_life_stage,Early adult
parameter_name,Bone Mineral Density (excluding skull)
gene_accession_id,MGI:1914071
parameter_id,M-G-P_005_001_004
mouse_strain,C57BL
pvalue,0.7136712
gene_symbol,Bcs1l
