analysis_id,23hm5gbm751f173
pvalue,0.9560815
gene_symbol,Ap5s1
mouse_strain,C57BL
parameter_name,lens opacity
mouse_life_stage,Early adult
parameter_id,M-G-P_014_001_010
gene_accession_id,MGI:1916846
