gene_symbol,Atf3
mouse_strain,C57BL
analysis_id,a8fffh368n2li88
parameter_id,JAX_OFD_017_001
parameter_name,Center average speed
gene_accession_id,MGI:109384
mouse_life_stage,Early adult
pvalue,0.1966822
