gene_symbol,Gfi1b
analysis_id,e12bep390043ft7
parameter_id,MGP_IMM_121_001
mouse_life_stage,Early adult
pvalue,0.7179296
parameter_name,Macrophages - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:1276578
