parameter_name,Midbrain
analysis_id,blx66j8eqe35cq6
gene_accession_id,MGI:2684980
parameter_id,IMPC_GEL_029_001
pvalue,0.05547385
gene_symbol,Mms22l
mouse_life_stage,Early adult
mouse_strain,C57BL
