analysis_id,jpx815bd968ynz0
parameter_id,HMGULA_CBC_009_001
mouse_strain,C57BL
pvalue,0.9675963
parameter_name,Calcium
mouse_life_stage,E12.5
gene_accession_id,MGI:95835
gene_symbol,Hspa5
