gene_symbol,Serinc3
analysis_id,277mo4582y462w2
mouse_life_stage,Early adult
Mouse_strain,C57BL
pvalue,0.1698318
parameter_name,CD8 CD44-CD62L+ T cells
gene_accession_id,MGI:1349457
Parameter_id,IMPC_IMM_034_001
