parameter_id,IMPC_HWT_008_001
pvalue,0.4520927
mouse_strain,C57BL
gene_accession_id,MGI:1913396
parameter_name,Heart weight
gene_symbol,Maco1
analysis_id,seswmodg0y28ma3
mouse_life_stage,Early adult
