mouse_strain,129SV
gene_accession_id,MGI:1918025
parameter_name,Ly6Clow monocyte percentage
gene_symbol,Zmynd8
mouse_life_stage,Early adult
analysis_id,9sxq6956j9qf21k
pvalue,0.138877
parameter_id,MGP_PBI_018_001
