parameter_id,JAXLA_DXA_007_001
gene_accession_id,MGI:109356
gene_symbol,Snap23
analysis_id,166usbnr938tt78
mouse_strain,C57BL
pvalue,0.6714266
parameter_name,BMC/Body weight
mouse_life_stage,Late adult
