parameter_name,Light side time spent
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAX_LDT_002_001
pvalue,0.9486957
analysis_id,47o4x95351gho67
