parameter_id,IMPC_CBC_004_001
pvalue,1.49423e-05
gene_accession_id,MGI:1916222
mouse_life_stage,Early adult
gene_symbol,Tatdn3
parameter_name,Urea (Blood Urea Nitrogen - BUN)
analysis_id,x8spcz8nqa55a6g
mouse_strain,C57BL
