analysis_id,qp2qv0eg727i5y4
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_003_001
mouse_strain,C57BL
parameter_name,Hemoglobin
gene_symbol,Amigo1
gene_accession_id,MGI:2653612
pvalue,0.6634793
