parameter_name,Fractional Shortening
pvalue,0.9861179
mouse_strain,C57BL
gene_accession_id,MGI:1914583
mouse_life_stage,Early adult
analysis_id,78l7jpny33j1zk1
gene_symbol,Stk35
parameter_id,IMPC_ECH_005_001
