gene_symbol,Rab13
analysis_id,w01zjyz6cjhy5eb
pvalue,0.4801272
gene_accession_id,MGI:1927232
mouse_life_stage,Early adult
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_strain,C57BL
parameter_id,JAXLA_GRS_011_001
