parameter_name,% Freezing duration pre-cue-2
gene_symbol,Lime1
mouse_life_stage,Early adult
gene_accession_id,MGI:1919949
pvalue,0.1189855
mouse_strain,C57BL
analysis_id,ii3314yj9ao3ds8
parameter_id,ICS_FEA_019_001
