parameter_id,IMPC_CBC_012_001
mouse_life_stage,Early adult
pvalue,0.1948557
analysis_id,7d30z877neta0aj
parameter_name,Aspartate aminotransferase
gene_symbol,Ahctf1
gene_accession_id,MGI:1915033
mouse_strain,C57BL
