gene_symbol,Zyg11b
gene_accession_id,MGI:2685277
mouse_strain,C57BL
mouse_life_stage,E18.5
analysis_id,099141uh51l3992
pvalue,0.157879
parameter_name,PP1 startle magnitude
parameter_id,ESLIM_011_001_002
