analysis_id,01y62j2569wduaw
parameter_id,IMPC_GEL_011_001
parameter_name,Embryo turning
pvalue,0.7773786
gene_accession_id,MGI:1921442
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Arpc5l
