analysis_id,50e6le5apjb0d1a
gene_accession_id,MGI:1914071
pvalue,0.9939545
parameter_id,IMPC_DXA_007_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Bcs1l
parameter_name,BMC/Body weight
