analysis_id,9m074pk3otd06y3
mouse_life_stage,E9.5
gene_accession_id,MGI:87968
pvalue,0.1650011
parameter_name,lens
parameter_id,M-G-P_014_001_009
gene_symbol,Ahcy
mouse_strain,C57BL
