gene_symbol,Extl1
parameter_name,Total CD4+ T cells - % of CD45+
analysis_id,uo80smnahzh798j
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_MLN_064_001
pvalue,0.3909713
gene_accession_id,MGI:1888742
