analysis_id,8m88u77196bd9t6
pvalue,0.6700784
gene_accession_id,MGI:1920638
mouse_strain,129SV
parameter_name,Resting CD8+ T cells - % of CD8+
mouse_life_stage,Early adult
gene_symbol,Bpifa3
parameter_id,MGP_IMM_015_001
