analysis_id,n53o5133ga3v495
mouse_life_stage,Early adult
parameter_name,Center distance travelled
pvalue,0.4766056
parameter_id,JAX_OFD_014_001
gene_accession_id,MGI:103302
gene_symbol,BMP7
mouse_strain,C57BL
