gene_symbol,Ddx27
parameter_name,Total food intake
mouse_strain,129SV
gene_accession_id,MGI:2385884
pvalue,0.8810022
parameter_id,IMPC_CAL_008_001
analysis_id,n5nx96lhzh5cu92
mouse_life_stage,Early adult
