parameter_name,Number of centre entries
gene_accession_id,MGI:1923029
pvalue,0.6736349
mouse_strain,C57BL
analysis_id,42a675k58kbk360
mouse_life_stage,Early adult
parameter_id,ESLIM_007_001_015
gene_symbol,Dnaaf9
