mouse_strain,129SV
parameter_name,Lens
mouse_life_stage,Early adult
pvalue,0.4718383
gene_symbol,Bpifa3
analysis_id,ar393902728743v
gene_accession_id,MGI:1920638
parameter_id,IMPC_EYE_016_001
