parameter_id,HRWLLA_FEA_015_001
mouse_life_stage,Early adult
parameter_name,Cue Baseline % Freezing Time
analysis_id,178z1pl350q3lbs
gene_accession_id,MGI:109356
gene_symbol,Snap23
mouse_strain,C57BL
pvalue,0.2176563
