analysis_id,n10920342u43kjc
gene_symbol,Usp37
parameter_name,Fractional Shortening
mouse_strain,C57BL
pvalue,0.2346153
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_005_001
gene_accession_id,MGI:2442483
