parameter_name,Aggression
gene_symbol,Snrpb2
gene_accession_id,MGI:104805
pvalue,0.5059777
mouse_strain,C57BL
parameter_id,IMPC_CSD_079_001
mouse_life_stage,Early adult
analysis_id,73l49el8v1ze012
