parameter_name,Whole arena average speed
mouse_life_stage,Early adult
gene_symbol,Zyg11b
gene_accession_id,MGI:2685277
mouse_strain,C57BL
pvalue,0.7157413
analysis_id,rn8lj4j43y429x7
parameter_id,IMPC_OFD_009_001
