parameter_name,Facial Morphology
mouse_strain,C57BL
parameter_id,IMPC_GEP_017_001
pvalue,0.3753917
gene_accession_id,MGI:1914061
analysis_id,3mq5oabk99f28sr
mouse_life_stage,Early adult
gene_symbol,Duoxa2
