parameter_name,Eosinophils
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,8rz064x3we4ib0w
gene_accession_id,MGI:1920344
parameter_id,IMPC_IMM_052_001
pvalue,0.9315367
gene_symbol,Sgip1
