gene_symbol,Nucks1
mouse_strain,C57BL
analysis_id,a9r35hby65wa960
parameter_id,MGP_IMM_011_001
pvalue,0.1293544
gene_accession_id,MGI:1934811
parameter_name,Resting Treg cells - % of Treg
mouse_life_stage,Middle aged adult
