parameter_id,TCPLA_XRY_033_001
analysis_id,qj3lv91wa7l25ri
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Arpc2
gene_accession_id,MGI:1923959
pvalue,0.3091589
parameter_name,Tibia length
