analysis_id,95o59q69gj9l2m0
parameter_id,MGP_MLN_009_001
gene_symbol,Ahcy
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_accession_id,MGI:87968
parameter_name,Effector Treg cells - % of Treg
pvalue,0.6138168
