gene_symbol,Dnajc5b
gene_accession_id,MGI:1913576
parameter_id,IMPC_OWT_004_001
analysis_id,ykie3u375t10a3d
parameter_name,Right kidney weight
pvalue,0.8541684
mouse_life_stage,Early adult
mouse_strain,C57BL
