parameter_name,Eosinophil number
analysis_id,uud86vuxm2ht09b
mouse_strain,C57BL
pvalue,0.9964257
mouse_life_stage,Early adult
gene_symbol,Cpa3
gene_accession_id,MGI:88479
parameter_id,MGP_PBI_040_001
