analysis_id,kyo9721c0vv7k2j
gene_symbol,Bpifa3
mouse_strain,129SV
pvalue,0.1595227
parameter_name,KLRG1+ NK cells - % of NK cells
parameter_id,MGP_IMM_036_001
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
