analysis_id,17l6qm00sy9x6hq
pvalue,0.358271
parameter_id,ESLIM_011_001_702
mouse_strain,C57BL
gene_accession_id,MGI:1921262
parameter_name,Prepulse inhibition - PP2
gene_symbol,Rap2b
mouse_life_stage,Early adult
