parameter_id,IMPC_GPP_004_001
analysis_id,8qpps6725arqxt5
pvalue,0.2837307
mouse_life_stage,Early adult
parameter_name,Placenta Size
mouse_strain,C57BL
gene_symbol,Snrpb2
gene_accession_id,MGI:104805
