gene_symbol,Dmap1
gene_accession_id,MGI:1913483
mouse_strain,C57BL
pvalue,0.791957
parameter_name,Total protein
mouse_life_stage,Early adult
analysis_id,78j2xh905rznm24
parameter_id,IMPC_CBC_006_001
