parameter_name,White blood cell-count
mouse_life_stage,Early adult
analysis_id,0o941974159t223
parameter_id,M-G-P_016_001_001
pvalue,0.6227056
gene_accession_id,MGI:1923959
gene_symbol,Arpc2
mouse_strain,129SV
