analysis_id,j329s9d8d7h0hhk
parameter_name,Plasmacytoid DC - % of DC
mouse_life_stage,Early adult
gene_symbol,Slx4ip
pvalue,0.05877506
gene_accession_id,MGI:1921493
parameter_id,MGP_MLN_058_001
mouse_strain,C57BL
