analysis_id,h4rbb6736554b33
parameter_id,M-G-P_008_001_013
mouse_life_stage,E9.5
gene_symbol,Eprs1
mouse_strain,C57BL
parameter_name,Startle Response
pvalue,0.2453371
gene_accession_id,MGI:97838
