gene_symbol,Kifap3
analysis_id,dt5o6nyxz795v26
mouse_life_stage,Early adult
pvalue,0.8020917
parameter_id,ESLIM_011_001_704
parameter_name,Prepulse inhibition - PP4
mouse_strain,C57BL
gene_accession_id,MGI:107566
