analysis_id,5j2j85l1szt75s0
gene_accession_id,MGI:1914071
pvalue,0.6938698
mouse_strain,C57BL
parameter_name,Whole arena average speed
mouse_life_stage,E12.5
parameter_id,ESLIM_007_001_005
gene_symbol,Bcs1l
