analysis_id,nkc6f05tb6dv96j
pvalue,0.5841481
parameter_id,MGP_PBI_019_001
gene_accession_id,MGI:99915
gene_symbol,Lamb3
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Neutrophil percentage
