gene_symbol,Zyg11b
gene_accession_id,MGI:2685277
pvalue,0.3644717
analysis_id,l0lw2fv4gu304f5
mouse_strain,C57BL
parameter_id,IMPC_CSD_070_001
parameter_name,Lower teeth appearance
mouse_life_stage,E18.5
