gene_symbol,Tbl1xr1
parameter_id,MGP_PBI_008_001
mouse_life_stage,Late adult
pvalue,0.2703737
parameter_name,CD4+ CD25+ alpha beta regulatory T cell percentage
mouse_strain,C57BL
analysis_id,drykb6f1qs95949
gene_accession_id,MGI:2441730
