parameter_name,Gait
pvalue,0.4712384
parameter_id,IMPC_CSD_033_001
analysis_id,zj35r1o76517c0m
mouse_strain,C57BL
gene_accession_id,MGI:1922855
mouse_life_stage,Early adult
gene_symbol,Kdm5b
