analysis_id,48v197xt2ye19y3
pvalue,0.87801
parameter_name,Mean-corpuscular-haemoglobin
parameter_id,M-G-P_016_001_006
gene_symbol,Etfdh
gene_accession_id,MGI:106100
mouse_strain,C57BL
mouse_life_stage,Early adult
