parameter_name,Number of centre entries
mouse_strain,C57BL
analysis_id,v5v24uw2ooh5n5s
gene_symbol,Ppm1j
gene_accession_id,MGI:1919137
mouse_life_stage,Early adult
parameter_id,ESLIM_007_001_015
pvalue,0.4988766
