parameter_name,Periphery - Permanence Time
mouse_life_stage,Early adult
parameter_id,M-G-P_007_001_008
gene_accession_id,MGI:1914309
analysis_id,v6182zvu41g671r
pvalue,0.6352287
mouse_strain,C57BL
gene_symbol,Ola1
